,arabizi,arabic,from_source
262,wil,وال,1
263,7a9,حق,1
264,3andek,عندك,1
265,a9wa,اقوا,1
266,kamel,كمل,1
267,inta,انتا,1
268,mazel,مازال,1
269,we7ed,واحد,1
270,3ad,عاد,1
271,t9oul,تقول,1
272,9al,قبل,1
273,7al,حل,1
274,fina,فينا,1
275,inchala,انشاءالله,1
276,fl,فال,1
277,hada,هاذا,1
278,lazem,لازم,1
279,5edma,خدمة,1
280,hay,هاي,1
281,tayara,طيارة,1
282,n7eb,نحب,1
283,a7sen,احسن,1
284,lclub,لكلوب,1
285,ey,اي,1
286,am,ام,1
287,winti,وانتي,1
288,7it,حيط,1
289,ta,تا,1
290,kifek,كيفك,1
291,akbar,اكبر,1
292,machalah,ماشاءالله,1
293,nayek,نيك,1
294,wrabi,وربي,1
295,kalb,كلب,1
296,kleb,كلاب,1
297,moncef,منصف,1
298,yar7mou,يرحمو,1
299,wa9t,وقت,1
300,yarhmou,يرحمو,1
301,7ay,حي,1
302,bou,بو,1
303,wa7dek,وحدك,1
304,3leh,علاه,1
305,berasmi,برسمي,1
306,zok,زك,1
307,jam3eya,جمعية,1
308,sanfara,سنفرا,1
309,9a7ba,قحبة,1
310,yji,يجي,1
311,hia,هيا,1
312,kont,كنت,1
313,rap,راب,1
314,echa3b,الشعب,1
315,m3alim,معلم,1
316,lah,لاه,1
317,ai,اي,1
318,video,فيديو,1
319,normal,نورما,1
320,ta7an,طحان,1
321,ahla,أهلا,1
322,amin,امين,1
323,lina,لينا,1
324,y7eb,يحب,1
325,za3ma,زعما,1
326,boutoula,بطولة,1
327,bin,بين,1
328,walh,والله,1
329,3le,على,1
330,ah,اه,1
331,erajel,الرجل,1
332,tji,تجي,1
333,miboun,ميبون,1
334,lezem,لازم,1
335,rouhek,روحك,1
336,clip,كليب,1
337,match,ماتش,1
338,om,ام,1
339,menek,منك,1
340,khater,خاتر,1
341,cpr,سبر,1
342,7ram,حرام,1
343,zouz,زوز,1
344,wla,ولا,1
345,5ouya,خويا,1
346,twensa,توانس,1
347,7ala,حالة,1
348,ykoun,يكون,1
349,ye5dem,يخدم,1
350,wasel,واصل,1
351,chbik,شبيك,1
352,ta7ana,طحانة,1
353,rahom,راهم,1
354,bro,برو,1
355,3liha,عليها,1
356,ya7ki,يحكي,1
357,3ar,عار,1
358,mahouch,ماهوش,1
359,meli,ماللي,1
360,wahed,واحد,1
361,bouk,بوك,1
362,heka,هاكا,1
363,malem,معلم,1
364,kifeh,كيفاه,1
365,nabara,نبرا,1
366,jam3ya,جمعية,1
367,amine,امين,1
368,a3mel,اعمل,1
369,film,فيلم,1
370,hh,هه,1
371,9anet,قنات,1
372,aka,اكا,1
373,thawra,ثورة,1
374,sa7bi,صاحبي,1
375,jit,جيت,1
376,b5ir,بخير,1
377,marbou7a,مربوحة,1
378,3a,عا,1
379,m3ek,معاك,1
380,ba3ed,باعد,1
381,joumhour,جمهور,1
382,denya,دنيا,1
383,raja3,راجع,1
384,3andha,عندها,1
385,bilehi,باللاهي,1
386,ela,الا,1
387,bele,بالي,1
388,raho,راهو,1
389,houa,هوا,1
390,9adech,قداش,1
391,lyoum,ليوم,1
392,aman,امان,1
393,kolha,كلها,1
394,wa7da,وحدا,1
395,3ib,عيب,1
396,rou7ou,روحو,1
397,bina,بينا,1
398,bras,براس,1
399,lifri9i,لفريقي,1
400,ta3ref,تعرف,1
401,hadhi,هاذي,1
402,hadi,هاذي,1
403,chey,شيئ,1
404,wa9tech,وقتاش,1
405,tofla,طفلة,1
406,ma3adech,معادش,1
407,entouma,انتوما,1
408,menou,منو,1
409,ras,راس,1
410,ina,انا,1
411,wa7na,واحنا,1
412,hedi,هاذي,1
413,heya,هيا,1
414,nahdha,نهضة,1
415,barka,بركة,1
416,kn,كنت,1
417,rajil,راجل,1
418,basem,باسم,1
419,3and,عند,1
420,jdida,جديدة,1
421,3idek,عيدك,1
422,baba,بابا,1
423,youm,يوم,1
424,na7na,نحنا,1
425,jey,جاي,1
426,yemchi,يمشي,1
427,shih,صحيح,1
428,walit,وليت,1
429,bihom,بيهم,1
430,akid,اكيد,1
431,yelzem,يلزم,1
432,ma7lek,محلاك,1
433,hathi,هاذي,1
434,yechfih,يشفيه,1
435,sidi,سيدي,1
436,zeyed,زايد,1
437,sanfour,سنفور,1
438,nesma,نسمة,1
439,wehed,واحد,1
440,rye7i,رياحي,1
441,tahki,تحكي,1
442,zayed,زايد,1
443,mich,مش,1
444,nheb,نحب,1
445,beb,باب,1
446,parc,بارك,1
447,sahbi,صاحبي,1
448,3adi,عادي,1
449,fech,فاش,1
450,menha,منها,1
451,walet,ولات,1
452,alih,عليه,1
453,te5dem,تخدم,1
454,enchala,انشاءالله,1
455,bsara7a,بصراحة,1
456,fehri,فهري,1
457,tnajem,تنجم,1
458,m3alam,معلم,1
459,ele,الي,1
460,chy,شيئ,1
461,waw,واو,1
462,mnin,منين,1
463,n7ebou,نحبو,1
464,yaser,ياسر,1
465,khouya,خويا,1
466,mra,مرا,1
467,9a3ed,قاعد,1
468,beha,بيها,1
469,omha,امها,1
470,zeby,زبي,1
471,erjel,ارجل,1
472,7keya,حكاية,1
473,ahsen,احسن,1
474,alh,الله,1
475,maw,ماو,1
476,sloma,سلومة,1
477,lifriki,لافريقي,1
478,eni,اني,1
479,hana,هانا,1
480,theb,تحب,1
481,m3akom,معاكم,1
482,bilahi,بالاهي,1
483,mahlek,محلاك,1
484,beli,باللي,1
485,blad,بلاد,1
486,kamcha,كمشة,1
487,alina,علينا,1
488,sar,صار,1
489,toul,طول,1
490,din,دين,1
491,sbe7,صباح,1
492,em3ak,امعاد,1
493,winou,وينو,1
494,9ad,قد,1
495,hmd,حمد,1
496,ria7i,رياحي,1
497,louled,لولاد,1
498,wakil,وكيل,1
499,zina,زينا,1
500,ya5i,ياخي,1
501,bjeh,بجاه,1
502,yekhi,ياخي,1
503,3id,عيد,1
504,rakom,راكم,1
505,said,سعيد,1
506,nchalh,انشاءالله,1
507,menhom,منهم,1
508,twansa,تونسنا,1
509,jet,جات,1
510,chniya,شنيا,1
511,3mal,عمل,1
512,m3ahom,محلاهم,1
513,beji,باجي,1
514,mahich,ماهيش,1
515,weldi,ولدي,1
516,fi9,فيق,1
517,awled,اولاد,1
518,jaw,جو,1
519,bich,بش,1
520,fadina,فادينا,1
521,anta,انتا,1
522,ched,شد,1
523,rya7i,رياحي,1
524,yetraba,يترابا,1
525,saber,صبر,1
526,leflous,لفلوس,1
527,kelma,كلمة,1
528,marzou9i,مرزوقي,1
529,kil,كل,1
530,ta7ya,تحيا,1
531,chnouwa,شنوة,1
532,zabour,زبور,1
533,joueret,جورات,1
534,mta,متع,1
535,ghir,غير,1
536,a3la,اعلا,1
537,3leha,علاه,1
538,ma3neha,معناها,1
539,jib,جيب,1
540,mohamed,محمد,1
541,ta3,تع,1
542,hya,هيا,1
543,tchouf,تشوف,1
544,hani,هاني,1
545,a3lik,عليك,1
546,hahaha,هاهاها,1
547,kolou,كلو,1
548,behya,باهيا,1
549,bhim,بهيم,1
550,jemla,جملا,1
551,e5er,اخر,1
552,temchi,تمشي,1
553,yar7em,يرحم,1
554,chnia,شنيا,1
555,fy,في,1
556,iji,يجي,1
557,manich,مانيش,1
558,chkon,شكون,1
559,bkhir,بخير,1
560,blasa,بلاصة,1
561,jenjon,جنجون,1
562,libya,ليبيا,1
563,ya3ref,يعرف,1
564,wa7id,واحد,1
565,meskina,مسكينة,1
566,thama,ثمة,1
567,blech,بلاش,1
568,yezina,يزينا,1
569,omou,امو,1
570,3amlou,عملو,1
571,mafamech,مفماش,1
572,wahra,وهرا,1
573,s7i7a,صحيحة,1
574,kora,كورة,1
575,3maltou,عملتو,1
576,sid,سيد,1
577,wahdek,وحدك,1
578,dar,دار,1
579,bahi,باهي,1
580,dam,دم,1
581,tab9a,تبقى,1
582,klam,كلام,1
583,t7in,طحين,1
584,chab,شعب,1
585,kais,قيس,1
586,salem,سلام,1
587,mina,منا,1
588,wisem,وسام,1
589,tla3,طلع,1
590,omkom,امكم,1
591,kouki,كوكي,1
592,ya3mlou,يعملو,1
593,ty,تي,1
594,chbih,شبيه,1
595,tjib,تجيب,1
596,waldik,ولديك,1
597,ywaf9ek,يوفقك,1
598,flousek,فلوسك,1
599,tbarkalah,تبارك الله,1
600,mahou,ماهو,1
601,enas,الناش,1
602,5sara,خسارة,1
603,wini,ويني,1
604,3ali,عالي,1
605,ray,راي,1
606,libled,لبلاد,1
607,omk,امك,1
608,homa,هوما,1
609,wahda,وحدا,1
610,t3ich,تعيش,1
611,dandouk,دندوك,1
612,wenta,ونتا,1
613,nar,نار,1
614,dayma,دايما,1
615,benzarti,بنزرتي,1
616,zboubna,زبوبنا,1
617,bel7a9,بالحق,1
618,3ada,عادا,1
619,saybou,سيبونا,1
620,jabri,جبري,1
621,montasar,منتصر,1
622,rades,رادس,1
623,ml,مال,1
624,3alik,عليك,1
625,tarja3,ترجع,1
626,enahdha,النهضة,1
627,hram,حرام,1
628,khali,خلي,1
629,9rib,قريب,1
630,ryahi,رياحي,1
631,7keyet,حكايات,1
632,wal,وال,1
633,bledna,بلادنا,1
634,heda,هاذا,1
635,ejam3iya,الجمعية,1
636,mnayek,منيك,1
637,mechi,ماشي,1
638,wili,واللي,1
639,korsi,كرسي,1
640,touns,تونس,1
641,baya,بايا,1
642,ywali,يولي,1
643,ma3ak,معاك,1
644,met,مات,1
645,mezel,مازال,1
646,ma3a,معا,1
647,toz,طز,1
648,bl,بال,1
649,belek,بالك,1
650,ani,اني,1
651,nidhal,نضال,1
652,ensen,انسان,1
653,3li,علي,1
654,rouhou,روحك,1
655,lebes,لاباس,1
656,mte3ek,متاعك,1
657,idara,ادارة,1
658,na3ref,نعرف,1
659,m3alm,معلم,1
660,famech,فماش,1
661,law,لو,1
662,wrak,وراك,1
663,9odem,قدام,1
664,hom,هم,1
665,ya3tek,يعطيك,1
666,sebsi,سبسي,1
667,haya,هيا,1
668,lbled,لبلاد,1
669,enou,انو,1
670,akahaw,اكهو,1
671,wa9tha,وقتها,1
672,ghali,غالي,1
673,tw,تو,1
674,lih,ليه,1
675,bledi,بلادي,1
676,sna,سنا,1
677,ya3ni,يعني,1
678,le5er,لاخر,1
679,kafon,كافون,1
680,y7ebou,يحبو,1
681,kir,خير,1
682,wow,واو,1
683,etounsi,التونسي,1
684,nafs,نفس,1
685,kifou,كيفو,1
686,9anoun,قانوني,1
687,nmout,نموت,1
688,choufou,شوفو,1
689,nchoufou,نشوفو,1
690,3malt,عملت,1
691,koun,كون,1
692,yheb,يحب,1
693,9albi,قلبي,1
694,ija,اجا,1
695,zin,زين,1
696,ejam3ia,الجمعية,1
697,zanatir,زناتير,1
698,deyma,دايما,1
699,makech,ماكش,1
700,la7keya,لحكاية,1
701,rod,رد,1
702,l7a9,لحق,1
703,a9al,اقل,1
704,barnamej,برنامج,1
705,ma3k,معك,1
706,hasbouna,حسبنا,1
707,karim,كريم,1
708,oh,اوه,1
709,ikoun,يكون,1
710,sare9,سارق,1
711,samir,سمير,1
712,ely,الي,1
713,hala,حالا,1
714,i7eb,يحب,1
715,fema,فما,1
716,jay,جاي,1
717,yahki,يحكي,1
718,yarja3,يرجع,1
719,hamdi,حمدي,1
720,n9oul,نقول,1
721,b3id,بعيد,1
722,kolhom,كلهم,1
723,bnet,بنات,1
724,amana,امانة,1
725,weldik,ولدك,1
726,okhra,اخرى,1
727,wena,وانا,1
728,na3ma,نعمة,1
729,hta,حتى,1
730,yar7am,يرحم,1
731,im3ak,امعاك,1
732,5it,خيت,1
733,barnemej,برنامج,1
734,yeziw,يزيو,1
735,mabrok,مبروك,1
736,wahna,واحنا,1
737,yara7mou,يرحمو,1
738,marbouha,مربوحة,1
739,y9oul,يقول,1
740,9a3din,قعدين,1
741,sne,سنة,1
742,kbal,قبل,1
743,zada,زادا,1
744,akthar,اكثر,1
745,3andna,عندنا,1
746,chway,شويا,1
747,3omri,عمري,1
748,hiwar,حوار,1
749,9aleb,قالب,1
750,alech,علاش,1
751,9a3da,قعدة,1
752,yonsrek,ينصرك,1
753,ynajem,ينجم,1
754,fare5,فرخ,1
755,m3aha,معاها,1
756,masa5,مسخ,1
757,minhom,منهم,1
758,tir,طير,1
759,chokran,شكرا,1
760,3andhom,عندهم,1
761,wenchalah,وانشاءالله,1
762,mchit,مشيت,1
763,khedma,خدمة,1
764,besh,بش,1
765,yab9a,يبقا,1
766,mafama,مافما,1
767,fi9ou,فيقا,1
768,mariem,مريم,1
769,nchouf,نشوف,1
770,zab,زب,1
771,sousa,سوسة,1
772,3omrou,عمرو,1
773,ghalia,غالية,1
774,yed,يد,1
775,ta3mlou,تعملو,1
776,leklem,لكلام,1
777,kolkom,كلكم,1
778,asba,عصبة,1
779,tnik,تنيك,1
780,tahya,تحيا,1
781,3amla,عملة,1
782,3ando,عندو,1
783,kemla,كلمة,1
784,bent,بنت,1
785,nos,نص,1
786,zawali,زوالي,1
787,sfax,صفاقس,1
788,3alem,عالم,1
789,flousou,فلوسو,1
790,zaweli,زاوالي,1
791,chneya,شنيا,1
792,ya3tikom,يعطيكم,1
793,wl,وال,1
794,3amel,عامل,1
795,kaleb,كلب,1
796,tounsia,تونسيا,1
797,zantour,زنتور,1
798,9ahba,قحبة,1
799,kel,كال,1
800,fou9,فوق,1
801,ta3mil,تعمل,1
802,chabeb,شباب,1
803,nafti,نفطي,1
804,rou7ik,روحك,1
805,3lach,علاش,1
806,lkolna,لكلنا,1
807,9olt,قلت,1
808,yched,يشد,1
809,machi,ماشي,1
810,ro7ek,روحك,1
811,fehom,فيهم,1
812,ilkol,لكل,1
813,likom,ليكم,1
814,t7ib,تحب,1
815,9alek,قالك,1
816,mal,مال,1
817,thi9a,ثيقة,1
818,mezyena,مزيانة,1
819,tefhem,تفهم,1
820,chmeta,شماتة,1
821,tzid,تزيد,1
822,9oul,قول,1
823,alahou,الله,1
824,tartour,طرطو,1
825,raji3oun,راجعون,1
826,rasek,راسك,1
827,frere,فرار,1
828,nour,نور,1
829,aleh,علاه,1
830,haha,هاها,1
831,alikom,عليم,1
832,batal,بطال,1
833,minou,منو,1
834,meskin,مسكين,1
835,walid,وليد,1
836,bsaraha,بصراحة,1
837,m3lem,معلم,1
838,machrou3,مشروع,1
839,rjal,رجال,1
840,a5er,اخر,1
841,franca,فرانسا,1
842,madem,مادام,1
843,salah,صالح,1
844,3sal,عسل,1
845,minha,منها,1
846,wila,ويلا,1
847,rachwa,رشوة,1
848,mout,موت,1
849,amena,امانة,1
850,sidek,سيدك,1
851,medeb,مدب,1
852,3an,عن,1
853,maya,مايا,1
854,nahna,نحنا,1
855,7ajet,حاجات,1
856,kenet,كانت,1
857,andek,عندك,1
858,mte3ou,متاعو,1
859,mta3ek,متاعك,1
860,na3mlou,نعملو,1
861,y5alik,يخليك,1
862,za7,زح,1
863,jeya,جاية,1
864,ysir,يصير,1
865,yehdik,يهديك,1
866,5alina,خلينا,1
867,intouma,انتوما,1
868,idha,يدها,1
869,echa3eb,الشعب,1
870,fekra,فكرة,1
871,saif,سيف,1
872,sayed,سيد,1
873,wa9et,وقت,1
874,yefhem,يفهم,1
875,mcha,مشا,1
876,omhom,امهم,1
877,t7ebou,تحبو,1
878,minek,منك,1
879,klemek,كلامك,1
880,belhi,بالاهي,1
881,khawla,قهوة,1
882,mena,منا,1
883,bikom,بيكم,1
884,lfri9i,افريقي,1
885,n9olek,نقلك,1
886,tfou,تفوه,1
887,sout,صوت,1
888,moufida,مفيدة,1
889,andou,عندو,1
890,ataw,عطاو,1
891,7or,حر,1
892,3awra,عورة,1
893,akeka,اكاكا,1
894,7oukouma,حكومة,1
895,hakeka,هكاكة,1
896,mili,ملي,1
897,yarhem,يحرم,1
898,jana,جنة,1
899,ahmed,احمد,1
900,omik,امك,1
901,ntouma,انتومة,1
902,mridh,مريض,1
903,inti5abet,انتخابات,1
904,3in,عين,1
905,mochkla,مشكلة,1
906,ma39oul,معقول,1
907,hamza,حمزة,1
908,siyesa,سياسة,1
909,tahan,طحان,1
910,martou,مرتو,1
911,rit,ريت,1
912,may,ماي,1
913,tahana,طحانة,1
914,masta,مسطرة,1
915,3morha,عمرها,1
916,rou7,روح,1
917,mazal,مازال,1
918,leblad,لبلاد,1
919,batala,بطالة,1
920,jmal,جملا,1
921,chnwa,شنوة,1
922,maryoul,مريول,1
923,rayou,رايو,1
924,omo,امو,1
925,jami3,جميع,1
926,siyasa,سياسة,1
927,lkolha,لكلها,1
928,manel,منال,1
929,wra,ورا,1
930,tal9a,تلقى,1
931,enabara,انبارة,1
932,basket,بسكات,1
933,admin,ادمين,1
934,chnawa,شنوة,1
935,dhaher,ظاهر,1
936,bilel,بلال,1
937,kemel,كامل,1
938,sore9,سراق,1
939,9alo,قالو,1
940,lin,لين,1
941,jibelna,جيبلنا,1
942,yatik,يعطيك,1
943,ble,بلا,1
944,insen,انسان,1
945,tfih,تفيه,1
946,entom,انتم,1
947,techri,تشري,1
948,mnayka,منيكة,1
949,kona,كنا,1
950,wlad,ولاد,1
951,bajbouj,بجبوج,1
952,tared,طارد,1
953,9adeh,قداه,1
954,rayes,رئيس,1
955,omok,امك,1
956,machari3,مشاريع,1
957,nhebou,نحبو,1
958,ma3lem,معلم,1
959,ghneya,غناية,1
960,jboura,جبورة,1
961,es7i7,الصحيح,1
962,wentouma,وانتم,1
963,tahiya,تحية,1
964,hamdoulah,حمدلله,1
965,3omra,عمرة,1
966,hab,حب,1
967,ryehi,رياحي,1
968,barsha,برشا,1
969,7lowa,حلوة,1
970,ya3mil,يعمل,1
971,na3rfou,نعرفو,1
972,b9odret,بقدرة,1
973,hwa,هوا,1
974,yehdi,يهديك,1
975,mkacha5,مكشخ,1
976,mashalah,ماشاءالله,1
977,sayer,صاير,1
978,salam,سلام,1
979,ghodwa,غدوة,1
980,alahoma,اللهم,1
981,l3ar,العار,1
982,hahahaha,هاهاهاها,1
983,ghalta,غلطة,1
984,bachir,بشير,1
985,3andik,عندك,1
986,aid,عيد,1
987,tsir,تصير,1
988,salouma,سلومة,1
989,amal,امل,1
990,5ra,خرى,1
991,malyoun,مليون,1
992,brcha,برشا,1
993,hor,حر,1
994,efriki,افريقي,1
995,hna,هنا,1
996,forsa,فرصة,1
997,selim,سليم,1
998,mche,مشى,1
999,yechfik,يشفيك,1
1000,bouh,بوه,1
1001,bouzid,بوزيد,1
1002,karti,كارطي,1
1003,fransa,فرانسا,1
1004,manech,ماناش,1
1005,3andkom,عندكم,1
1006,we7id,واحد,1
1007,yousef,يوسف,1
1008,cheb,شاب,1
1009,yar7mo,يرحمو,1
1010,nestana,نستنا,1
1011,sbab,سبب,1
1012,rwe7kom,رواحكم,1
1013,5alik,خليك,1
1014,raw3a,روعة,1
1015,7kayet,حكايات,1
1016,n7ebek,نحبك,1
1017,bdit,بديت,1
1018,esmou,اسمو,1
1019,a3tina,اعطينا,1
1020,edawla,الدولة,1
1021,5arej,خارج,1
1022,wkol,وكل,1
1023,riyahi,رياحي,1
1024,yarham,يرحم,1
1025,maset,ماصت,1
1026,klab,كلب,1
1027,a3lina,علينا,1
1028,3ayla,عايلة,1
1029,lawled,لولاد,1
1030,m3adhebhom,معذبهم,1
1031,wahid,واحد,1
1032,ltawa,لتوا,1
1033,alihom,عليهم,1
1034,wach,واش,1
1035,arja3,ارجع,1
1036,ne3ma,نعمة,1
1037,bjah,بجاه,1
1038,97ab,قحبة,1
1039,chnya,شنيا,1
1040,tanbir,تنبير,1
1041,ya3ti,يعطي,1
1042,ma7leha,محلاها,1
1043,riehi,رياحي,1
1044,mahma,مهما,1
1045,jem3a,جمعة,1
1046,ghaleb,غالب,1
1047,terba7,تربح,1
1048,mte3kom,متاعكم,1
1049,frou5,فروخ,1
1050,o5rej,اخرج,1
1051,kanet,كانت,1
1052,mana,مانا,1
1053,behia,باهية,1
1054,winchalah,وانشاءالله,1
1055,3omrek,عمركم,1
1056,ma7la,محلا,1
1057,mele5er,ماللخر,1
1058,khoya,خويا,1
1059,tasir,تصير,1
1060,nsit,نسيت,1
1061,zah,زح,1
1062,ji3an,جيعان,1
1063,tousel,توصل,1
1064,netmana,نتمنى,1
1065,thez,تهز,1
1066,kef,كاف,1
1067,besif,بالسيف,1
1068,yekhdem,يخدم,1
1069,leli,للي,1
1070,be9i,باقي,1
1071,a3az,اعز,1
1072,beleh,بالله,1
1073,mchet,مشات,1
1074,chnoua,شنوة,1
1075,wiw,ويو,1
1076,ka3ba,كعبة,1
1077,andi,عندي,1
1078,kedheb,كذاب,1
1079,blastou,بلاصتو,1
1080,kbar,كبار,1
1081,kolo,كلو,1
1082,tekhdem,تخدم,1
1083,bark,برك,1
1084,3ini,عيني,1
1085,yarahmou,يرحمو,1
1086,5ayeb,خايب,1
1087,wa9teh,وقتاه,1
1088,aliha,عليها,1
1089,mami,مامي,1
1090,fok,فك,1
1091,barou,برو,1
1092,rasou,راسو,1
1093,walina,ولينا,1
1094,yakhi,ياخي,1
1095,3alina,علينا,1
1096,imed,عماد,1
1097,mli7,مليح,1
1098,nabil,نبيل,1
1099,kadheb,كذاب,1
1100,el3ar,العار,1
1101,zinek,زينك,1
1102,salim,سليم,1
1103,3ayech,عايش,1
1104,jme3a,جماعة,1
1105,sere9,سارق,1
1106,ha9,حق,1
1107,ifri9i,افريقي,1
1108,yatla3,يطلع,1
1109,abed,عباد,1
1110,edenya,الدنيا,1
1111,tunes,تونس,1
1112,hedheka,هذاكا,1
1113,hez,هز,1
1114,zibi,زبي,1
1115,znatir,زناتير,1
1116,ahlou,اهلو,1
1117,sbeh,صباح,1
1118,3bad,عباد,1
1119,a3mlou,اعملو,1
1120,flen,فلان,1
1121,yelzemna,يلزمنا,1
